date,close,中国债10,非中进出口,成交量笔,中工财,美财政,非中GDP,中GDP,非中M2,中电,中进出口,中外贸,中财政综,中汇率,美股,金银,中储,中能源,中零售三产中M,另外股指
1997/1/2,-1.5253618983455852,-1.6674393046467617,-6.30632849222793,-1.098373740512022,-3.816740336975153,-2.6218299078473177,-6.044351455625007,-1.6942267548809398,-0.7565679907775874,-2.713076494919558,-3.1670747041526903,-1.5984978043310303,-2.8445275759924407,2.140085339777223,-3.820317924869104,-2.3179720766309733,-1.9244105991289393,-3.814876127638214,-1.6622368553353806,-1.9674612663108482
1997/1/3,-1.5005715967469342,-1.6672916096255335,-6.292449185253719,-1.0964170950516194,-3.8169619324196304,-2.622641747034483,-6.040131557705639,-1.696085784932806,-0.7564520080488539,-2.712827602376452,-3.1650945777898594,-1.5975967873934176,-2.8435351533648614,2.1433655701435663,-3.79776773478849,-2.3245624631829362,-1.9243114725117862,-3.8064753383405128,-1.661393907980914,-1.9907279209816673
1997/1/6,-1.4950106467395103,-1.6671439146043054,-6.278569878279509,-1.1015416408511245,-3.817183527864108,-2.6273961415643265,-6.03591165978627,-1.697944814984672,-0.7563360253201201,-2.7125787098333465,-3.163114451427029,-1.5966957704558045,-2.8425427307372813,2.1405469887318143,-3.7957110574981563,-2.331164101887784,-1.924212345894633,-3.7980745490428114,-1.6605509606264477,-2.0268695891419877
1997/1/7,-1.5124335057647258,-1.6669962195830772,-6.264690571305299,-1.0976869131166611,-3.8174051233085855,-2.6321505360941706,-6.031691761866902,-1.699803845036538,-0.75628837932989,-2.7123298172902404,-3.1611343250641992,-1.5957947535181916,-2.841550308109702,2.1431238910376855,-3.7835117597075207,-2.3315909231777354,-1.9241132192774795,-3.78967375974511,-1.659708013271981,-1.9969803050662824
1997/1/8,-1.4830725603243566,-1.6668485245618492,-6.250811264331087,-1.099984106175161,-3.8176267187530635,-2.636904930624014,-6.027471863947534,-1.7016628750884044,-0.7562407333396605,-2.7120809247471342,-3.1591541987013683,-1.594893736580579,-2.8405578854821227,2.1495559613622324,-3.765413518746986,-2.3346048663377306,-1.9240140926603262,-3.781272970447408,-1.6588650659175148,-2.0009047911528968
1997/1/9,-1.4846069907569335,-1.666700829540621,-6.236931957356877,-1.099529432105013,-3.817848314197541,-2.6459673291962202,-6.023251966028165,-1.7035219051402706,-0.7561930873494304,-2.711832032204029,-3.157174072338538,-1.5939927196429657,-2.8395654628545435,2.145891634769389,-3.7519838351198627,-2.3352533174001113,-1.9239149660431727,-3.772872181149707,-1.6580221185630484,-1.9889416818204841
1997/1/10,-1.460709052955951,-1.6665531345193927,-6.223052650382667,-1.0960361682799489,-3.818069909642019,-2.6550297277684267,-6.019032068108798,-1.7053809351921367,-0.7561454413592004,-2.711583139660923,-3.1551939459757077,-1.5930917027053528,-2.838573040226964,2.146714595695384,-3.7317104216928083,-2.3267263138994165,-1.9238158394260196,-3.764471391852006,-1.657179171208582,-1.9767366687521468
1997/1/13,-1.44977215519184,-1.6664054394981644,-6.209173343408455,-1.089755583292825,-3.8182915050864965,-2.66446760780184,-6.014812170189429,-1.707239965244003,-0.7560977953689704,-2.711334247117817,-3.153213819612877,-1.5921906857677401,-2.8375806175993845,2.1455075385428874,-3.711992066441571,-2.3250126622897285,-1.9237167128088664,-3.7560706025543045,-1.6563362238541153,-1.959433269051698
1997/1/14,-1.4318900552853855,-1.6662577444769364,-6.195294036434245,-1.0914092336598085,-3.818513100530974,-2.6739054878352535,-6.0105922722700615,-1.709098995295869,-0.7559993849444238,-2.7110853545747107,-3.1512336932500467,-1.591289668830127,-2.8365881949718053,2.147105036089667,-3.702285674949969,-2.330448969148289,-1.9236175861917129,-3.7476698132566026,-1.6554932764996488,-1.9844626435939927
1997/1/15,-1.4415547905135515,-1.6661100494557082,-6.181414729460033,-1.0923248329422581,-3.8187346959754516,-2.683343367868667,-6.006372374350693,-1.7109580253477352,-0.7559009745198766,-2.710836462031605,-3.149253566887216,-1.590388651892514,-2.835595772344226,2.1503140578957027,-3.697668539310402,-2.3349196923936084,-1.9235184595745596,-3.739269023958901,-1.6546503291451826,-1.9747309619440108
